"Listado preparado por ""Business Intelligence fácil"" a partir de la información del INE y de Google Maps";;;;;;
Más información en:;htttp://www.businessintelligence.info;;;;;
Comunidad;Provincia;Población;Latitud;Longitud;Altitud;Habitantes
Madrid;Madrid;Acebeda, La;41,08697;-3,624634;1266,542;61
Madrid;Madrid;Ajalvir;40,53437;-3,481002;680,1722;3780
Madrid;Madrid;Alameda del Valle;40,9179;-3,843788;1109,934;237
Madrid;Madrid;Álamo, El;40,22972;-3,992688;606,2238;7857
Madrid;Madrid;Alcalá de Henares;40,48166;-3,364136;593,7416;204574
Madrid;Madrid;Alcobendas;40,54754;-3,642091;694,4304;109104
Madrid;Madrid;Alcorcón;40,34912;-3,828811;717,5549;167967
Madrid;Madrid;Aldea del Fresno;40,32399;-4,202217;476,7994;2457
Madrid;Madrid;Algete;40,59642;-3,497902;712,8972;20204
Madrid;Madrid;Alpedrete;40,65875;-4,023713;916,7029;12797
Madrid;Madrid;Ambite;40,3292;-3,181895;667,338;557
Madrid;Madrid;Anchuelo;40,46549;-3,268585;761,7067;1005
Madrid;Madrid;Aranjuez;40,03209;-3,603288;502,3892;54055
Madrid;Madrid;Arganda del Rey;40,30095;-3,43808;626,9236;51489
Madrid;Madrid;Arroyomolinos;40,26884;-3,920291;597,4142;13835
Madrid;Madrid;Atazar, El;40,93333;-3,466667;900,2352;109
Madrid;Madrid;Batres;40,21029;-3,922307;603,6849;1466
Madrid;Madrid;Becerril de la Sierra;40,71638;-3,989412;1086,586;5083
Madrid;Madrid;Belmonte de Tajo;40,13364;-3,339654;732,0183;1451
Madrid;Madrid;Berrueco, El;40,88814;-3,561255;937,1234;585
Madrid;Madrid;Berzosa del Lozoya;40,97594;-3,525082;1079,826;226
Madrid;Madrid;Boadilla del Monte;40,40525;-3,876992;673,7737;43414
Madrid;Madrid;Boalo, El;40,71746;-3,920084;953,0439;6413
Madrid;Madrid;Braojos;41,04005;-3,643112;1189,477;190
Madrid;Madrid;Brea de Tajo;40,23012;-3,109499;722,8417;515
Madrid;Madrid;Brunete;40,40554;-3,997736;654,7903;9522
Madrid;Madrid;Buitrago del Lozoya;40,99368;-3,636723;977,8387;2078
Madrid;Madrid;Bustarviejo;40,85811;-3,70969;1217,359;2062
Madrid;Madrid;Cabanillas de la Sierra;40,81968;-3,626066;921,8676;745
Madrid;Madrid;Cabrera, La;40,86399;-3,615572;1040,395;2493
Madrid;Madrid;Cadalso de los Vidrios;40,30094;-4,443737;799,9886;2903
Madrid;Madrid;Camarma de Esteruelas;40,54861;-3,377597;639,19;6445
Madrid;Madrid;Campo Real;40,33815;-3,380982;765,6791;5087
Madrid;Madrid;Canencia;40,90981;-3,737718;1142,31;523
Madrid;Madrid;Carabaña;40,25669;-3,234641;612,9524;1910
Madrid;Madrid;Casarrubuelos;40,17114;-3,833068;624,7643;3062
Madrid;Madrid;Cenicientos;40,26463;-4,464909;778,7822;2087
Madrid;Madrid;Cercedilla;40,74145;-4,054667;1191,372;7023
Madrid;Madrid;Cervera de Buitrago;40,92196;-3,53016;916,3304;156
Madrid;Madrid;Chapinería;40,37918;-4,20943;679,6159;2061
Madrid;Madrid;Chinchón;40,14019;-3,415684;777,1609;5308
Madrid;Madrid;Ciempozuelos;40,15934;-3,6184;580,2641;22132
Madrid;Madrid;Cobeña;40,56733;-3,504839;677,4468;5818
Madrid;Madrid;Collado Mediano;40,69389;-4,023123;1029,724;6473
Madrid;Madrid;Collado Villalba;40,62725;-4,008587;875,7213;55027
Madrid;Madrid;Colmenar de Oreja;40,10758;-3,387693;756,9265;8357
Madrid;Madrid;Colmenar del Arroyo;40,41858;-4,198538;679,1825;1376
Madrid;Madrid;Colmenar Viejo;40,65895;-3,766043;880,6345;43700
Madrid;Madrid;Colmenarejo;40,56101;-4,016842;875,1868;8232
Madrid;Madrid;Corpa;40,42489;-3,262723;819,1653;559
Madrid;Madrid;Coslada;40,42594;-3,565464;628,7247;90280
Madrid;Madrid;Cubas de la Sagra;40,1917;-3,837347;648,7275;4499
Madrid;Madrid;Daganzo de Arriba;40,54481;-3,457924;665,5711;8792
Madrid;Madrid;Escorial, El;40,58508;-4,12952;915,7729;14979
Madrid;Madrid;Estremera;40,18403;-3,106115;643,0197;1518
Madrid;Madrid;Fresnedillas de la Oliva;40,48651;-4,172033;895,7322;1396
Madrid;Madrid;Fresno de Torote;40,59229;-3,41205;657,2809;2074
Madrid;Madrid;Fuenlabrada;40,28387;-3,800329;679,0076;197836
Madrid;Madrid;Fuente el Saz de Jarama;40,63877;-3,51129;642,1251;6282
Madrid;Madrid;Fuentidueña de Tajo;40,11819;-3,159549;565,6978;2081
Madrid;Madrid;Galapagar;40,57736;-4,00357;884,4304;31820
Madrid;Madrid;Garganta de los Montes;40,92143;-3,689205;1125,801;397
Madrid;Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;40,96463;-3,718601;1136,591;378
Madrid;Madrid;Gascones;41,01809;-3,641817;1046,484;152
