id_centro_titular,centro_titular
1,COMUNIDAD DE MADRID
2,AYUNTAMIENTO
3,MINISTERIO DE DEFENSA
4,U. POLITECNICA DE MADRID
5,U. AUTONOMA DE MADRID
6,U. COMPLUTENSE DE MADRID
7,U. DE ALCALA DE HENARES
8,PATRONATO MUNICIPAL
9,AYUNTAMIENTO 
10,U. CARLOS III
11,UNIVERSIDAD AUTONOMA DE MADRID
12,AYUNTAMIENTO DE MADRID
13,AYUNTAMIENTO DE  MADRID
14,"MINISTERIO DE ASUNTOS EXTERIORES,UNION EUROPEA Y COOPERACION"
15,COMUNDAD DE MADRID
16,"MINISTERIO DE EDUCACION, CULTURA Y DEPORTE"
17,RELIGIOSAS FILIPENSES
18,CONGREGACION DEL ORATORIO DE SAN FELIPE NERI
19,ESCUELAS PIAS PROVINCIA BETANIA
20,FUNDACION EDUCACION Y EVANGELIO
21,PADRES PASIONISTAS
22,COLEGIO DE SAN IGNACIO COMPAÑIA DE JESUS (JESUITAS)
23,FUNDACION ESCOLAPIAS MONTAL
24,"PROLOVE, S.A."
25,PARROQUIA DE SAN PEDRO APOSTOL
26,"COLEGIO CONCERTADO SAN ANTONIO, S.L."
27,"EDUCACHACON, S.L."
28,"COLEGIO RIHONDO, S.L."
29,FUNDACION EDUCATIVA SANTISIMA TRINIDAD
30,"COLEGIO NUESTRA SEÑORA DE LOS REMEDIOS, SOC. COOP. MADRILEÑA"
31,CONGREGACION DE RELIGIOSAS DEL AMOR DE DIOS
32,MISIONERAS SECULARES DE JESUS OBRERO
33,MADRES TRINITARIAS
34,JUAN XXIII DE ENSEÑANZA S.L.
35,FUNDACION EDUCATIVA SANTO DOMINGO
36,"COLEGIO SAN PASCUAL, SDAD. COOP. MADRILEÑA"
37,PADRES SOMASCOS
38,CONGREGACION SALESIANA
39,GREDOS SAN DIEGO SOCIEDAD COOPERATIVA MADRILEÑA
40,FUNDACION SAN JUAN DE DIOS
41,HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL
42,RELIGIOSAS DE MARIA IANUA COELI
43,INSTITUTO SECULAR CRUZADA EVANGELICA
44,"COLEGIO VIRGEN DEL HENAR, S.L."
45,"LICEO JUAN DE LA CIERVA, S.L."
46,"SCIENTIA SCHOOL, S.L."
47,RELIGIOSAS CARMELITAS MISIONERAS
48,HNAS. HOSPITALARIAS DE JESUS NAZARENO
49,"SEBAS, S.L."
50,INSTIT.CALASANCIO H.DIVINA PASTORA
51,HNOS. DE LAS ESCUELAS CRISTIANAS
52,"COLEGIO JUAN PABLO II GUADARRAMA, S.L."
53,CENTRO DE ENSEÑANZA SERRANO GARCIA S.L.
54,"EL SALVADOR, SDAD. COOP. MADRILEÑA"
55,ARZOBISPADO DE MADRID
56,FUNDACION EDUCATIVA DOCTRINA CRISTIANA
57,RELIGIOSAS DE MARIA INMACULADA
58,"FUNDACION PIA AUTONOMA CONGREG. MARIANAS,INMACULADA Y S.JOSE"
59,FUNDACION MATER AMABILIS
60,FUNDACION OBRA SOCIAL Y MONTE DE PIEDAD DE MADRID
61,FUNDACION EDUCACION MARIANISTA DOMINGO LAZARO
62,FUNDACION VEDRUNA EDUCACION
63,RELIGIOSAS OPERARIAS DEL DIVINO MAESTRO
64,FUNDACION ESCUELAS FELICIANA VIERTOLA
65,RELIGIOSAS COMENDADORAS DE SANTIAGO
66,CONCEPCIONISTAS MISIONERAS DE LA ENSEÑANZA
67,RELIGIOSAS ESCLAVAS DE CRISTO REY
68,FUNDACION EDUCATIVA JOSE GRAS
69,CONGREGACION DE RELIGIOSAS HIJAS SGDA. FAMILIA DE NAZARET
70,FUNDACION EDUCATIVA ACI
71,FUNDACION COLEGIO NUEVO EQUIPO
72,COLEGIO S.LUIS FELCA S.L.5493 B 212
73,TERCIARIOS CAPUCHINOS NUESTRA MADRE DE LOS DOLORES
74,FUNDACION ESCUELA TERESIANA
75,RELIGIOSAS DE JESUS MARIA
76,ESCLAVAS DE LA SANTISIMA EUCARISTIA
77,"COLEGIO MARIA REINA, S.A.L."
78,FUNDACION EDUCATIVA JESUITINAS
79,"COLEGIO MATER CLEMENTISIMA, S.L."
80,RELIGIOSAS MARIA INMACULADA MISIONERAS CLARETIANAS
81,MADRES MERCEDARIAS
82,"COLEGIOS MIRASIERRA, S.A."
83,ORDEN DE SAN AGUSTIN (AGUSTINOS)
84,FRANCISCANAS DE NTRA.SRA.DEL BUEN CONSEJO
85,PARROQUIA NUESTRA SEÑORA DE LOS DOLORES
86,PARROQUIA DE NUESTRA SEÑORA DEL ROSARIO DE FATIMA
87,ASOCIACION CULTURAL SURCO
88,"NUSNI, S.A."
89,HIJAS DE MARIA AUXILIADORA
90,FUNDACION EDUCATIVA MARIANISTA DOMINGO LAZARO
91,"LICEO OROQUIETA, SDAD. COOP. MADRILEÑA"
92,FUNDACION FEDERICO FLIEDNER
93,HERMANDAD DEL REFUGIO Y PIEDAD
94,FUNDACION EDUCATIVA SOFIA BARAT
95,INSTITUCION DE HERMANOS DEL SAGRADO CORAZON
96,PATRONATO PADRE PULGAR
97,FUNDACION VILLENA LA SALLE
98,CONGREGACION DE LOS SAGRADOS CORAZONES
99,CONGREGACION SAGRADOS CORAZONES
100,PADRES CAPUCHINOS
101,PADRES FRANCISCANOS MENORES CONVENTUALES
102,PARROQUIA DE SAN JAIME APOSTOL
103,"COLEGIO SAN JAVIER-DIEGO PEREZ LLERENA, S.L."
104,FUNDACION EDUCATIVA FRANCISCANAS ANA MOGAS
105,TERCIARIAS FRANCISCANAS PURISIMA CONCEPCION
106,FUNDACION INSTITUTO SAN JOSE
107,FUNDACIÓN EDUCATIVA SAN JOSE DE CLUNY
108,CONGREGACION DE RELIGIOSOS PADRES SALESIANOS
109,CONGREGACION DE RELIGIOSOS DE SAN VIATOR
110,"COLEGIO SAN VICENTE COLONIA DEL TAXISTA, S.L."
111,"COLEGIO SANTA ELISABETH, S.L."
112,"SANTA GEMA SERVICIOS EDUCATIVOS, S. L."
113,RELIGIOSAS DE LA ASUNCION
114,MISIONERAS CRUZADAS DE LA IGLESIA
115,"SANTA MARIA DE LOS PINOS, S.L."
116,RELIGIOSAS HIJAS DE MARIA AUXILIADORA
117,MISIONERAS STMO.SACRAMENTO Y MARIA INMACULADA
118,HNAS. DEL SANTO ANGEL DE LA GUARDA
119,"COLEGIO SANTO ANGEL DE LA GUARDA, S.L. UNIPERSONAL"
120,SOCIEDAD COOPERATIVA MADRILEÑA TEIDE-HEASE
121,CARMELITAS ORDEN DEL CARMEN PROVINCIA BETICA
122,COMPAÑÍA DE MARIA
123,FUNDACION CARMEN PARDO VALCARCE
124,MISIONERAS DEL DIVINO MAESTRO
125,HIJAS DEL PATROCINIO DE MARIA
126,HNAS. DEL AMOR DE DIOS
127,RELIGIOSAS ESCLAVAS DEL AMOR MISERICORDIOSO
128,FUNDACION MAESTRO
129,"ESCOLAR BEASIL, S.L."
130,FUNDACIÓN SPÍNOLA
