direccion_via_nombre,direccion_numero,contacto_web,direccion_coor_y,direccion_coor_x,direccion_via_tipo,centro_nombre,contacto_email1,telefonos,latitud_CM_x,longitud_CM_x,Renta,id_centro_titularidad,id_centro_titular,id_municipio,id_centro_codigo,id_dat_codigo,id_direccion_codigo_postal,id_comunidad
Víctor Hurtado,s/n,http://www.educa.madrid.org/cp.sanblas.ajalvir,4487797.0,458832.0,CALLE,SAN BLAS,cp.sanblas.ajalvir@educa.madrid.org,918844589,40.4165,-3.70256,39.782,1,1,1,70,3,,Comunidad de Madrid
Abedul,1,http://www.educa.madrid.org/cn.candelaria.ajalvir,4487429.0,459661.0,CALLE,LA CANDELARIA,cn.candelaria.ajalvir@educa.madrid.org,918844380,40.4165,-3.70256,39.782,1,2,1,3,3,,Comunidad de Madrid
Soria,2,http://www.educa.madrid.org/eei.laespiga.ajalvir,4486885.0,459105.0,CALLE,LA ESPIGA,eei.laespiga.ajalvir@educa.madrid.org,918844352,40.4165,-3.70256,39.782,1,2,1,3,3,,Comunidad de Madrid
del Río Alagón,1,http://www.educa.madrid.org/cp.elalamo.elalamo,4453703.0,415961.0,CALLE,EL ALAMO,cp.elalamo.elalamo@educa.madrid.org,918120652,40.4165,-3.70256,30.898,1,1,2,14,2,,Comunidad de Madrid
del Olivar,62,http://www.educa.madrid.org/ies.elalamo.elalamo,4453568.0,416218.0,PASEO,EL ALAMO,ies.elalamo.elalamo@educa.madrid.org,918104133,40.4165,-3.70256,30.898,1,1,2,42,2,,Comunidad de Madrid
del Romero,1,http://www.educa.madrid.org/em.elalamo,4453708.0,415582.0,CALLE,EL ALAMO,em.elalamo@educa.madrid.org,918122120,40.4165,-3.70256,30.898,1,2,2,185,2,,Comunidad de Madrid
del Espino,6,http://www.educa.madrid.org/cn.pasemisi.elalamo,4454075.0,415543.0,CALLE,PASEMISI,cn.pasemisi.elalamo@educa.madrid.org,918120053,40.4165,-3.70256,30.898,1,2,2,6,2,,Comunidad de Madrid
de Villamanta,s/n,http://www.colegiolosnogales.es/,4454282.0,415004.0,CMNO,LOS NOGALES,cc.losnogales.elalamo@educa.madrid.org,918104457-690095398,40.4165,-3.70256,30.898,2,432,2,72,2,,Comunidad de Madrid
de Antonio Machado,6,No hay página web,4454125.0,415695.0,CALLE,LOS ALAMOS,elgloboceleste@hotmail.com,670858504-918104132,40.4165,-3.70256,30.898,3,608,2,8,2,,Comunidad de Madrid
San Ignacio de Loyola,13,http://www.educa.madrid.org/cp.antoniodenebrija.alcala,4482313.0,468386.0,CALLE,ANTONIO DE NEBRIJA,cp.antoniodenebrija.alcala@educa.madrid.org,918882368,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
San Juan,2,http://www.educa.madrid.org/cp.cardenalcisnero.alcala,4481259.0,468658.0,CALLE,CARDENAL CISNEROS,cp.cardenalcisnero.alcala@educa.madrid.org,918880447-615303251,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Giner de los Ríos,5,http://www.educa.madrid.org/cp.cervantes.alcala,4481511.0,469547.0,CALLE,CERVANTES,cp.cervantes.alcala@educa.madrid.org,918889973,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Infantado,2,http://www.educa.madrid.org/cp.daoizyvelarde.alcala,4481956.0,468826.0,CALLE,DAOIZ Y VELARDE,cp.daoizyvelarde.alcala@educa.madrid.org,918880958-918829222,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
de la Ronda Fiscal,44,http://www.educa.madrid.org/cp.emperadorfernan.alcala,4480180.0,468369.0,CALLE,EMPERADOR FERNANDO,cp.emperadorfernan.alcala@educa.madrid.org,918823334,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Valladolid,1,http://www.educa.madrid.org/ies.complutense.alcala,4481599.0,470510.0,CALLE,COMPLUTENSE,ies.complutense.alcala@educa.madrid.org,918880169,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Ávila,s/n,http://www.educa.madrid.org/cp.val.alcala,4481791.0,470873.0,CALLE,NUESTRA SEÑORA DEL VAL,cp.val.alcala@educa.madrid.org,918893702,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
de Pedro Sarmiento de Gamboa,11,http://www.educa.madrid.org/cp.doctora.alcala,4482291.0,469522.0,CALLE,DOCTORA DE ALCALA,cp.doctora.alcala@educa.madrid.org,918883764,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
