direccion_via_nombre,contacto_telefono2,contacto_telefono3,direccion_numero,contacto_telefono1,contacto_web,contacto_fax,direccion_coor_y,direccion_coor_x,direccion_via_tipo,centro_nombre,contacto_telefono4,contacto_email1,id_centro_titularidad,id_centro_titular,id_municipio,id_centro_codigo,id_dat_codigo,id_direccion_codigo_postal
Víctor Hurtado,,,s/n,918844589,http://www.educa.madrid.org/cp.sanblas.ajalvir,918844211,4487797.0,458832.0,CALLE,SAN BLAS,,cp.sanblas.ajalvir@educa.madrid.org,1,1,1,70,3,
Abedul,,,1,918844380,http://www.educa.madrid.org/cn.candelaria.ajalvir,918844380,4487429.0,459661.0,CALLE,LA CANDELARIA,,cn.candelaria.ajalvir@educa.madrid.org,1,2,1,3,3,
Soria,,,2,918844352,http://www.educa.madrid.org/eei.laespiga.ajalvir,,4486885.0,459105.0,CALLE,LA ESPIGA,,eei.laespiga.ajalvir@educa.madrid.org,1,2,1,3,3,
del Río Alagón,,,1,918120652,http://www.educa.madrid.org/cp.elalamo.elalamo,918122834,4453703.0,415961.0,CALLE,EL ALAMO,,cp.elalamo.elalamo@educa.madrid.org,1,1,2,14,2,
del Olivar,,,62,918104133,http://www.educa.madrid.org/ies.elalamo.elalamo,918122113,4453568.0,416218.0,PASEO,EL ALAMO,,ies.elalamo.elalamo@educa.madrid.org,1,1,2,42,2,
del Romero,,,1,918122120,http://www.educa.madrid.org/em.elalamo,918122222,4453708.0,415582.0,CALLE,EL ALAMO,,em.elalamo@educa.madrid.org,1,2,2,185,2,
del Espino,,,6,918120053,http://www.educa.madrid.org/cn.pasemisi.elalamo,,4454075.0,415543.0,CALLE,PASEMISI,,cn.pasemisi.elalamo@educa.madrid.org,1,2,2,6,2,
de Villamanta,690095398,,s/n,918104457,http://www.colegiolosnogales.es/,918122399,4454282.0,415004.0,CMNO,LOS NOGALES,,cc.losnogales.elalamo@educa.madrid.org,2,432,2,72,2,
de Antonio Machado,918104132,,6,670858504,,x,4454125.0,415695.0,CALLE,LOS ALAMOS,,elgloboceleste@hotmail.com,3,608,2,8,2,
San Ignacio de Loyola,,,13,918882368,http://www.educa.madrid.org/cp.antoniodenebrija.alcala,918882368,4482313.0,468386.0,CALLE,ANTONIO DE NEBRIJA,,cp.antoniodenebrija.alcala@educa.madrid.org,1,1,3,14,3,
San Juan,615303251,,2,918880447,http://www.educa.madrid.org/cp.cardenalcisnero.alcala,918837578,4481259.0,468658.0,CALLE,CARDENAL CISNEROS,,cp.cardenalcisnero.alcala@educa.madrid.org,1,1,3,14,3,
Giner de los Ríos,,,5,918889973,http://www.educa.madrid.org/cp.cervantes.alcala,918816276,4481511.0,469547.0,CALLE,CERVANTES,,cp.cervantes.alcala@educa.madrid.org,1,1,3,14,3,
Infantado,918829222,,2,918880958,http://www.educa.madrid.org/cp.daoizyvelarde.alcala,918880958,4481956.0,468826.0,CALLE,DAOIZ Y VELARDE,,cp.daoizyvelarde.alcala@educa.madrid.org,1,1,3,14,3,
de la Ronda Fiscal,,,44,918823334,http://www.educa.madrid.org/cp.emperadorfernan.alcala,918807542,4480180.0,468369.0,CALLE,EMPERADOR FERNANDO,,cp.emperadorfernan.alcala@educa.madrid.org,1,1,3,14,3,
Valladolid,,,1,918880169,http://www.educa.madrid.org/ies.complutense.alcala,918828091,4481599.0,470510.0,CALLE,COMPLUTENSE,,ies.complutense.alcala@educa.madrid.org,1,1,3,42,3,
Ávila,,,s/n,918893702,http://www.educa.madrid.org/cp.val.alcala,918894578,4481791.0,470873.0,CALLE,NUESTRA SEÑORA DEL VAL,,cp.val.alcala@educa.madrid.org,1,1,3,14,3,
de Pedro Sarmiento de Gamboa,,,11,918883764,http://www.educa.madrid.org/cp.doctora.alcala,918833055,4482291.0,469522.0,CALLE,DOCTORA DE ALCALA,,cp.doctora.alcala@educa.madrid.org,1,1,3,14,3,
Vitoria,,,3,918881174,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,918883402,4482286.0,471046.0,CALLE,ALONSO DE AVELLANEDA,,ies.alonsodeavellan.alcala@educa.madrid.org,1,1,3,42,3,
Alalpardo,,,s/n,918892450,http://www.educa.madrid.org/ies.machado.alcala,918883916,4482393.0,468665.0,CALLE,ANTONIO MACHADO,,ies.machado.alcala@educa.madrid.org,1,1,3,42,3,
San Vidal,,,4,918886145,http://www.educa.madrid.org/cp.infantacatalina.alcala,918836953,4480481.0,468204.0,CALLE,INFANTA CATALINA,,cp.infantacatalina.alcala@educa.madrid.org,1,1,3,14,3,
Alalpardo,,,s/n,918872000,http://www.madrid.org/dat_este/,918828213,4482381.0,468307.0,CALLE,DIRECCION AREA TERRITORIAL MADRID-ESTE,,info.dateste@madrid.org,1,1,3,300,3,
